Sample_ID	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	females_s3	females_s4	females_s5	males_s1	males_s2	males_s3	males_s4	males_s5
12366	44.0	29.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	27592.0	0.0	1.0	0.0	0.0
12367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0
12369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0
12370	10.0	6.0	4.0	4.0	93.0	758.0	2.0	9361.0	1.0	8308.0	92010.0	1625.0	9911.0	710.0
12371	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	3.0	10.0	0.0	0.0	0.0
12373	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12375	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12378	0.0	0.0	1.0	0.0	0.0	0.0	23.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
12382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	12.0	1.0	0.0	420.0	58.0	635.0
12386	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12394	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12396	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12397	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	404.0	0.0	0.0	0.0	401.0	4.0
12401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	6.0	0.0
12403	2.0	4.0	545.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12404	632.0	693.0	97.0	0.0	0.0	281.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12406	0.0	0.0	1.0	0.0	708.0	0.0	228.0	69.0	0.0	4.0	0.0	16007.0	799.0	4198.0
12407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
12408	1.0	0.0	0.0	0.0	3.0	176.0	0.0	1.0	0.0	30.0	2241.0	25.0	0.0	14.0
12412	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12413	23.0	42.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
12414	24.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12415	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12416	29.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12417	31.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12418	4.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12419	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12420	41.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12421	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12422	25.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12424	0.0	0.0	6.0	0.0	0.0	0.0	0.0	1414.0	7.0	4.0	0.0	0.0	0.0	4.0
12426	0.0	0.0	0.0	0.0	0.0	82.0	0.0	26.0	0.0	6.0	0.0	4.0	0.0	6.0
12428	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	31013.0	0.0	0.0	1.0	0.0	0.0
12429	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	2270.0	0.0	0.0	0.0	0.0	785.0
12430	6.0	4.0	16.0	0.0	81791.0	10059.0	860.0	17.0	3.0	735.0	1929.0	68.0	293.0	2051.0
12431	19.0	31.0	4301.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12432	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12434	0.0	0.0	0.0	0.0	1.0	0.0	0.0	29.0	0.0	3092.0	42.0	16.0	2.0	3.0
12435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5064.0	0.0	0.0	0.0	0.0
12436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1294.0	0.0	0.0	0.0	0.0
12437	0.0	0.0	15.0	0.0	4.0	1.0	1.0	332.0	2.0	33180.0	384.0	106.0	25.0	49.0
12438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1819.0	0.0	0.0	0.0	0.0
12439	0.0	1.0	0.0	0.0	1.0	0.0	42.0	92.0	253.0	8.0	0.0	8805.0	2201.0	8792.0
12440	1.0	0.0	1.0	0.0	4.0	174.0	0.0	427.0	0.0	204.0	154.0	848.0	611.0	383.0
12441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	401.0	5.0	460.0
12442	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	973.0	54.0	260.0
12443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	307.0	32.0	563.0
12448	1.0	0.0	0.0	0.0	228.0	0.0	1.0	7.0	0.0	0.0	7.0	12.0	52.0	4.0
12449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0
