id	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	males_s1	males_s2
1	3700849	4237172	2	4049895	12	116	20	5782
3	437902	491225	8	76319	29	355	38	330
4	209517	252815	1	34330	21	122	5	2383
5	69865	46603	136	66	504	399	631	3504
6	60496	3472	14364	16243	1221	9501	946	9055
7	31153	10347	37	2082	138	243	42	233
8	21078	23887	7	22725	14	134	27	139
9	19299	3007	1331	1259	2340	23526	2176	21764
10	18081	1718	635	1121	150	1213	91	1158
11	16785	10278	773	231	1468	11792	6929	10567
12	15510	3461	414	127	447	3013	381	2754
13	11201	4207	170	164	101	588	133	568
14	10546	3200	297	216	459	2221	298	2145
15	9312	12384	4	8008	11	218	14	753
16	8896	3898	157	45	164	433	62	387
17	8774	1769	58	312	90	405	63	364
18	8545	5452	103	82	23	391	44	363
19	8545	1067	45	36	139	191	49	168
20	7787	1279	185	79	161	1677	177	1415
21	7667	2556	169	2656	392	2158	217	1970
22	7664	992	63	1646	109	309	22	252
23	7572	2399	99	60	240	815	85	700
24	7284	3939	98	314	19	127	21	129
25	6679	203	624	7	31	441	22	405
26	6677	1053	500	3491	604	3062	297	2539
27	5613	891	468	11061	141	955	110	908
28	5439	639	74	43	106	576	68	503
29	5349	560	132	11	14	92	21	110
30	5297	804	288	469	343	2686	319	2569
31	5061	1124	150	152	187	1656	185	1508
32	4791	5827	4	4179	30	234	16	408
33	4544	885	49	19	82	498	123	545
34	4479	346	34	34	27	275	45	278
35	4177	1504	55	19	109	4181	91	4764
36	3727	3446	120	19	68	706	352	1695
37	3698	186	10	12	18	59	18	71
38	3457	444	208	978	244	1325	221	1239
39	3455	382	169	3551	80	943	85	949
40	3291	155	51	14	27	131	16	149
41	3214	1123	118	23	42	620	244	1461
42	3204	410	61	89	112	840	82	727
43	3184	599	630	709	520	3092	342	2687
44	3102	371	83	38	153	1510	75	899
45	2906	1717	203	23	106	618	115	633
46	2840	1088	121	89	92	793	113	755
47	2731	728	22	8	28	102	18	109
48	2713	1318	112	262	236	2237	217	2269
49	2651	444	545	31	164	904	151	889
50	2610	692	58	56	463	2196	238	2309
51	2535	48	26	11	62	364	64	347
52	2464	153	100	793	25	307	16	287
53	2345	600	54	20	68	313	72	320
54	2240	262	181	416	324	2541	237	2378
55	2184	411	352	108	567	3781	612	4772
56	2156	715	102	10	61	1082	100	1159
57	2148	103	148	277	73	397	67	327
58	2138	1226	157	34	63	786	463	2625
59	2004	4266	339	5	5	52	5	41
60	1963	454	79	140	228	2620	115	2782
61	1956	409	151	10	61	141	28	90
62	1946	237	2	319	31	30	7	37
63	1936	129	27	137	94	661	57	468
64	1896	575	625	36	172	533	116	547
65	1860	85	14	2	34	139	10	110
66	1853	186	19	14	7	44	2	41
67	1788	113	301	3747	30	112	8	149
68	1787	215	94	123	134	1126	161	1214
69	1762	382	9	2	11	27	11	38
70	1734	207	18	2	42	185	37	183
71	1606	260	148	195	149	1729	240	1478
72	1606	1623	231	268	3516	5352	1160	3752
73	1530	1110	3519	35	87	278	49	247
74	1512	274	3	3	11	46	8	41
75	1495	470	51	23	33	3026	48	2912
76	1494	122	25	61	41	244	42	267
77	1490	474	210	38	57	351	37	255
78	1456	432	13	244	61	222	38	190
79	1434	185	62	118	98	1035	89	962
80	1430	7	0	3	12	26	3	20
81	1415	154	37	44	51	118	23	145
82	1407	283	195	87	962	5367	741	4870
83	1382	803	767	253	6355	47803	4215	35610
84	1349	158	72	53	37	259	56	263
85	1324	143	4	1	3	141	16	116
86	1323	347	12	35	15	137	7	86
87	1317	342	205	254	1330	29443	1067	10456
88	1314	211	71	31	142	4405	2025	2510
89	1311	277	10	20	31	115	15	117
90	1301	199	47	243	3	37	4	18
91	1262	341	808	7	40	301	38	459
92	1254	1600	2	157	31	273	15	167
93	1238	698	70	9	61	143	124	770
94	1226	375	5	5	38	436	31	384
95	1219	93	211	152	19	39	4	51
96	1202	211	15	22	8	189	11	149
97	1201	1433	1	579	6	514	8	863
98	1201	485	29	2	13	335	83	241
99	1158	593	59	139	62	413	71	345
100	1089	123	46	10	60	412	59	409
101	1085	219	86	92	319	911	138	918
102	1063	133	69	91	142	988	129	935
103	1015	93	23	46	20	99	8	127
104	1002	536	115	147	598	4874	710	5254
105	994	325	125	90	24	222	31	205
106	985	136	8	32	8	152	16	114
107	985	47	6	5	5	29	3	34
108	978	1660	85	7	14	1185	19	92
109	973	94	49	6	6	108	5	98
110	965	408	52	26	130	576	129	683
111	960	49	91	85	80	94	62	100
112	953	132	32	25	47	356	70	302
113	948	124	113	8	13	350	40	356
114	917	101	28	15	43	165	21	163
115	910	141	17	83	14	113	18	150
116	905	135	46	48	114	665	95	599
117	905	44	11	26	16	86	10	89
118	900	91	35	21	19	131	43	141
119	888	55	36	49	33	162	33	202
120	886	15	5	8	3	49	8	38
121	875	387	51	0	2	51	5	37
122	871	6	1	15	3	39	2	19
123	822	140	154	26	191	1730	220	1601
124	817	150	25	5	61	401	31	336
125	796	195	177	27	119	842	128	709
126	794	122	804	9	76	2544	34	2894
127	784	1109	1	354	35	115	23	186
128	780	85	73	50	605	2392	375	1965
129	779	93	1	6	5	30	6	22
130	767	164	110	29	59	798	124	653
131	760	39	20	35	6	110	9	137
132	749	138	5	2	21	69	10	61
133	747	142	16	3	12	142	24	126
134	738	119	112	32	629	2882	402	2501
135	730	232	143	79	1410	6462	956	6035
136	718	75	30	52	16	475	16	301
137	707	59	124	2	3	82	16	89
138	686	130	36	7	54	409	55	329
139	668	196	17	4	3	98	10	94
140	664	84	18	10	29	208	20	230
141	662	134	5	24	3	13	3	16
142	660	109	24	20	62	420	69	396
143	659	148	47	2	7	178	23	158
144	658	158	44	4	3	110	43	237
145	657	161	86	49	250	1637	206	2725
146	655	87	42	12	28	357	39	324
147	649	130	84	13	71	413	76	518
148	649	5	5	5	9	84	6	67
149	640	113	310	17	60	329	56	351
150	634	76	57	14	17	164	16	166
151	626	189	30	25	17	176	27	141
152	617	1107	26	4	22	74	14	67
153	613	143	42	14	48	343	28	291
154	609	103	38	29	13	213	12	170
155	608	42	37	42	8	354	18	289
156	591	122	17	12	36	124	27	133
157	574	102	22	7	20	141	21	136
158	570	145	45	9	43	262	36	318
159	569	101	825	5	56	92	26	98
160	564	246	43	5	34	380	79	523
161	562	60	2	5	0	24	3	16
162	554	34	20	25	3	96	11	70
163	545	81	25	12	37	533	49	512
164	535	147	100	89	499	4484	636	4228
165	531	233	142	13	7	67	6	49
166	528	1006	3	79	22	337	31	463
167	524	453	15	11	90	261	41	203
168	520	70	103	20	53	394	73	384
169	519	5633	7	87	54	318	46	3083
170	519	86	12	51	31	156	27	166
171	514	67	13	9	62	93	21	86
172	514	89	33	12	95	344	55	322
173	509	136	25	35	43	704	51	739
174	507	92	31	62	34	478	52	443
175	505	23	231	5	2	6	4	9
176	505	177	142	169	578	2733	535	2804
177	496	61	29	30	18	196	44	227
178	481	515	11	59	112	334	81	345
179	477	94	34	15	23	250	28	183
180	474	94	485	3	33	63	13	86
181	474	42	33	27	229	1720	215	1495
182	473	61	36	23	52	165	28	146
183	469	85	35	62	14	305	32	232
184	468	48	40	775	11	186	8	179
185	465	53	1987	7	13	81	11	87
186	464	86	38	24	114	488	56	441
187	464	60	10	20	60	392	39	375
188	464	112	66	12	16	55	13	64
189	463	38	12	19	1	93	11	68
190	455	452	51	8	37	150	28	154
191	455	16	25	3	11	103	9	99
192	454	46	593	16	12	37	5	35
193	451	72	27	292	59	271	43	273
194	451	131	15	57	31	221	39	186
195	447	35	9	6	4	36	2	44
196	441	105	26	57	136	430	62	502
197	440	57	43	40	15	295	33	271
198	438	46	2	68	7	63	6	68
199	437	561	5	333	143	629	68	887
200	436	66	35	19	209	1040	236	1075
201	434	64	34	35	104	434	50	443
202	430	64	10	49	6	36	20	54
203	428	81	10	444	31	135	21	80
204	427	64	49	12	110	506	77	516
205	425	12	2	1	0	19	3	26
206	423	94	95	28	63	463	78	393
207	418	99	334	10	66	124	29	128
208	418	47	23	11	34	304	36	237
209	415	61	9	74	11	50	8	57
210	412	121	222	3	60	378	86	293
211	410	37	72	3	7	61	8	88
212	405	55	21	20	226	1156	151	905
213	404	553	3	63	34	1202	17	682
214	401	36	22	13	86	198	34	164
215	396	237	212	63	1484	78849	1276	63029
216	392	543	2	677	25	124	32	167
217	388	78	12	30	145	1046	27	787
218	387	65	10	29	25	172	26	129
219	387	65	23	7	55	205	19	156
220	386	69	2	1	3	13	3	24
221	382	26	24	36	15	153	15	125
222	379	280	15	10	54	228	32	217
223	377	29	4	190	18	118	10	124
224	370	72	40	16	147	982	237	897
225	368	43	5	4	3	55	7	60
226	368	99	28	25	22	275	47	322
227	363	92	36	6	33	217	28	189
228	362	37	24	7	121	640	82	609
229	361	18	6	8	23	152	21	147
230	360	58	238	1	141	212	24	127
231	360	99	8	36	18	302	18	281
232	359	33	2	9	1	53	6	72
233	357	51	9	13	1	102	6	65
234	356	41	17	32	44	223	20	189
235	355	130	3	2	2	41	3	16
236	355	27	19	4	16	58	13	59
237	354	60	25	60	25	301	46	280
238	352	60	52	29	293	2565	233	2007
239	352	80	60	5	28	125	30	90
240	351	38	6	5	10	40	5	54
241	344	43	56	19	121	709	101	677
242	342	78	32	11	21	313	91	226
243	341	71	35	26	132	1107	195	1043
244	341	66	24	4	7	74	6	54
245	341	49	3	1	15	58	8	37
246	338	52	8	7	33	231	29	200
247	336	106	11	27	13	145	48	151
248	335	16	24	0	1	13	1	13
249	335	55	22	7	41	277	46	243
250	334	6	0	0	4	65	6	64
251	334	34	4	2	60	34	9	10
252	334	57	8	5	20	216	15	217
253	328	90	26	9	101	623	72	449
254	328	52	46	12	43	445	85	430
255	321	70	332	5	13	255	22	227
256	320	67	6	2	0	24	9	29
257	320	45	6	2	28	225	27	199
258	317	374	4	3	9	58	6	56
259	311	56	9	10	4	63	12	81
260	310	48	21	22	30	253	58	241
261	308	236	7	13	8	52	6	63
262	306	84	13	9	42	172	24	151
263	300	34	4	4	44	68	23	63
264	300	42	10	11	13	59	12	87
265	298	47	7	17	21	160	14	222
266	297	61	35	5	39	238	13	606
267	296	20	14	6	5	39	7	44
268	296	359	5	57	65	445	74	323
269	295	80	8	1	33	124	42	167
270	294	10	6	3	21	61	10	56
271	294	18	5	12	8	71	12	37
272	292	24	29	2	132	3161	774	3362
273	291	69	78	35	452	2159	317	1819
274	288	56	46	32	302	2419	279	2305
275	287	32	4	14	1	106	12	102
276	285	31	23	5	20	233	29	209
277	285	36	4	11	21	21	3	42
278	285	18	24	25	28	599	15	614
279	285	218	9	8	0	39	0	22
280	285	14	3	1	0	23	3	22
281	283	29	4	8	23	204	40	186
282	282	24	5	16	4	17	5	22
283	281	44	26	18	26	291	28	302
284	280	15	21	6	73	308	48	297
285	279	389	2	67	5	211	20	223
286	276	16	7	19	1	89	6	347
287	276	97	1	1	30	93	24	113
288	276	65	58	20	179	2430	215	2002
289	274	304	5	130	15	146	45	139
290	273	20	10	18	20	58	6	53
291	270	52	24	11	61	423	67	415
292	270	238	31	22	92	934	133	971
293	267	51	73	16	36	279	67	249
294	267	36	19	9	10	148	19	199
295	266	24	12	4	14	307	17	185
296	266	54	78	9	59	224	33	210
297	265	58	13	3	13	491	26	470
298	265	33	23	6	8	109	18	99
299	264	78	8	26	73	216	29	221
300	263	85	133	44	64	249	27	143
301	263	34	6	12	14	76	13	56
302	260	38	0	3	3	30	2	43
303	260	396	3	30	16	934	28	743
304	259	47	17	37	25	267	20	244
305	259	62	29	4	1	74	2	141
306	259	41	16	20	38	219	45	176
307	257	8	3	2	5	21	4	24
308	257	68	2	6	0	27	2	35
309	256	45	17	21	40	220	15	245
310	256	38	23	14	18	183	16	103
311	255	58	21	14	79	692	87	537
312	254	58	94	20	550	1430	277	2597
313	253	47	17	2	68	220	74	158
314	252	40	9	8	24	67	17	73
315	252	45	34	14	62	895	68	654
316	252	57	18	7	32	184	42	199
317	252	39	352	0	3	64	6	60
318	251	49	42	12	246	1508	185	1435
319	250	44	9	8	15	458	21	233
320	250	58	3	3	5	113	4	90
321	250	47	34	6	25	320	41	270
322	249	54	7	1	18	18	2	29
323	245	53	13	8	32	233	29	188
324	244	15	8	5	43	122	63	124
325	243	71	37	12	301	217	218	274
326	243	31	11	12	21	191	8	191
327	242	8	8	11	5	54	5	34
328	241	40	13	30	32	376	25	276
329	238	393	5737	15	98	1016	161	814
330	238	275	0	67	3	37	14	37
331	236	50	10	5	15	160	8	125
332	236	1	0	0	8	22	4	47
333	235	42	22	9	13	81	7	100
334	234	22	7	8	24	155	25	127
335	233	31	14	7	49	105	15	76
336	233	28	15	6	9	45	10	45
337	233	221	25	102	179	832	103	748
338	227	32	6	11	1	35	4	25
339	226	42	13	14	30	182	38	116
340	226	26	2	174	4	51	12	60
341	226	33	8	9	47	286	40	275
342	225	25	57	1	27	51	14	55
343	225	34	6	5	102	435	55	418
344	224	17	15	14	39	87	7	52
345	224	41	3	0	4	101	9	98
346	220	32	4	5	12	61	6	63
347	219	24	1	1	3	33	6	14
348	219	44	14	16	33	52	27	51
349	218	29	6	6	10	49	8	33
350	216	14	6	1	1	23	1	15
351	216	101	2	2	22	142	23	97
352	215	27	18	16	130	696	102	696
353	213	48	26	9	23	344	62	461
354	213	56	12	6	13	87	13	93
355	213	29	252	0	3	60	19	83
356	213	3	2	1	37	249	19	182
357	211	32	10	14	31	235	26	227
358	210	91	14	0	8	24	32	170
359	210	20	10	3	34	103	14	124
360	208	22	9	4	12	71	10	64
361	207	42	93	9	7	145	24	131
362	207	57	24	14	2227	29087	550	6656
363	206	29	19	22	10	164	15	155
364	206	36	3	5	15	37	12	32
365	206	9715	11	190	88	291	16	5222
366	205	35	61	3	8	71	7	57
367	205	23	4	3	2	63	1	56
368	204	119	25	5	25	103	43	199
369	203	52	13	12	7	127	8	97
370	202	9	0	6	5	45	9	49
371	201	33	47	7	26	190	47	163
372	201	27	16	25	10	193	21	165
373	200	35	14	15	18	332	23	305
374	199	43	12	7	23	193	22	179
375	199	28	1	8	14	42	2	26
376	198	60	13	11	75	335	61	362
377	196	275	17	113	77	283	64	310
378	196	37	16	24	21	293	11	202
379	196	77	0	0	1	11	2	5
380	195	48	23	14	2	122	11	105
381	195	29	20	5	9	73	12	54
382	193	38	334	6	86	81	40	81
383	192	37	39	22	182	1530	119	1413
384	192	27	24	5	70	428	49	350
385	192	33	18	1	16	47	3	47
386	191	12	9	2	25	26	6	53
387	191	33	7	21	16	157	25	141
388	191	19	10	1	4	94	16	85
389	190	23	6	33	18	130	18	118
390	189	11	13	8	132	1290	80	902
391	189	29	54	1	14	69	27	58
392	188	34	7	0	5	39	6	28
393	188	22	4	23	30	51	7	70
394	188	77	26	123	11	1691	21	1902
395	187	5	3	4	19	38	5	21
396	185	27	10	27	21	149	33	178
397	185	51	17	17	62	286	37	229
398	185	27	14	7	12	115	17	86
399	184	35	4	2	5	73	9	66
400	184	49	9	19	10	38	8	32
401	184	23	3	6	9	53	12	43
402	183	49	9	4	13	83	7	94
403	183	35	60	3	34	237	34	160
404	182	40	14	10	13	164	33	173
405	182	75	15	1	0	65	19	124
406	182	33	12	5	9	72	4	57
407	182	20	6	0	25	87	18	63
408	180	26	11	15	17	175	22	191
409	179	20	15	11	52	94	15	60
410	179	25	5	39	4	216	6	126
411	178	31	3	18	26	105	21	86
412	177	14	6	3	2	79	10	51
413	177	17	9	31	11	46	13	56
414	176	17	4	1	30	51	8	54
415	175	18	60	8	70	40	17	75
416	174	24	16	13	31	284	24	287
417	173	32	28	19	136	1211	145	977
418	173	30	18	6	16	183	15	135
419	172	48	35	19	380	1761	200	1676
420	172	22	10	8	9	119	29	123
421	172	20	532	4	4	32	6	31
422	171	16	13	4	18	1174	10	1564
423	170	25	73	4	4	220	13	114
424	170	73	15	1	6	44	7	44
425	169	30	9	8	50	335	62	458
426	167	9	8	8	34	413	35	396
427	166	9	37	7	103	1080	82	821
428	165	22	5	2	70	72	8	55
429	163	23	15	5	5	84	6	57
430	163	20	5	15	8	52	3	38
431	162	31	29	11	628	2279	180	1888
432	162	39	2	4	7	67	11	45
433	162	52	1	10	16	74	10	64
434	162	36	26	11	101	860	77	758
435	161	19	15	2	50	155	14	147
436	161	18	4	1	43	78	11	54
437	161	156	3	25	13	24	4	14
438	161	23	4	2	11	73	10	71
439	160	28	37	4	103	972	303	782
440	159	53	29	13	129	871	120	732
441	158	28	22	9	95	751	85	720
442	158	41	15	5	65	637	86	619
443	157	24	25	6	30	294	84	258
444	157	17	2	0	29	149	34	176
445	156	14	6	2	0	36	14	34
446	156	23	39	12	33	597	118	390
447	156	68	12	2	22	105	10	95
448	156	21	17	7	135	433	47	444
449	156	17	3	9	9	52	4	44
450	155	37	29	21	367	1357	248	1407
451	155	27	13	21	8	45	8	37
452	154	48	5	12	3	60	9	44
453	152	54	10	1	16	189	41	216
454	152	23	16	11	27	230	24	173
455	150	9	3	0	9	51	9	47
456	150	14	4	2	3	27	3	25
457	149	58	51	5	13	52	5	69
458	149	14	3	1	4	37	3	21
459	148	24	56	5	35	335	76	242
460	148	25	17	1	16	76	16	86
461	147	54	36	7	204	1718	191	1324
462	147	17	4	2	4	90	4	45
463	147	34	10	6	4	19	1	9
464	146	21	13	5	75	163	30	175
465	144	15	12	2	28	67	9	73
466	143	10	52	1	48	218	44	169
467	143	14	3	1	9	60	8	25
468	142	31	6	7	71	38	12	53
469	142	13	9	5	56	253	38	252
470	141	24	4	20	28	85	21	81
471	140	25	14	7	50	394	51	351
472	140	15	9	1	2	20	5	28
473	139	2	1	2	13	94	24	99
474	139	36	9	13	33	88	19	46
475	138	32	19	14	171	1189	86	964
476	137	45	16	3	67	156	27	150
477	136	5	3	6	36	245	32	190
478	135	21	1	9	4	81	5	82
479	135	34	25	18	133	586	79	551
480	135	67	17	18	17	77	5	61
481	135	25	23	17	148	1917	129	2289
482	135	26	13	3	19	44	6	38
483	134	29	8	6	1	44	4	41
484	133	28	39	2	15	24	10	35
485	133	26	14	6	114	201	59	155
486	132	22	5	9	7	90	13	85
487	132	27	70	3	4	228	13	209
488	132	35	23	10	49	832	56	729
489	132	77	11	6	48	322	66	256
490	131	27	8	22	24	120	9	97
491	130	23	4	1	6	53	8	35
492	130	8	9	1	6	48	21	56
493	129	23	23	8	101	148	65	84
494	129	35	5	1	1	31	4	22
495	129	44	63	1	13	191	19	162
496	128	11	7	4	73	264	30	245
497	127	16	2	1	2	22	8	17
498	127	22	8	3	63	31	7	28
499	127	9	2	0	16	41	5	42
500	126	12	14	1	43	228	45	227
501	125	24	67	1	16	37	2	34
502	125	30	20	20	109	666	420	667
503	125	13	7	1	11	94	15	67
504	125	9	6	6	15	186	35	140
505	125	39	7	40	9	65	5	64
506	124	16	1	5	4	37	7	38
507	124	8	1	14	1	43	2	34
508	123	14	17	14	150	879	107	886
509	123	11	6	5	16	83	6	80
510	123	146	3	94	10	135	24	113
511	123	12	7	18	4	26	9	29
512	123	25	12	2	17	156	10	144
513	123	14	92	1	6	61	3	24
514	123	69	35	17	264	1353	214	1222
515	122	9	9	7	0	51	4	27
516	121	24	1	2	0	55	5	27
517	121	25	2	9	40	343	39	320
518	120	20	9	10	9	73	8	60
519	120	34	8	6	4	154	13	133
520	120	20	3	3	9	125	23	110
521	119	19	7	3	14	313	13	222
522	119	1	0	0	0	10	2	11
523	119	47	24	12	126	57558	112	21368
524	118	18	10	7	25	54	3	31
525	118	14	14	6	35	332	40	223
526	117	11	6	1	13	14	2	7
527	117	17	8	11	19	257	11	220
528	117	22	463	4	3	34	3	40
529	117	15	13	8	22	345	35	345
530	116	32	11	8	129	610	69	573
531	116	65	24	8	94	806	58	741
532	116	34	27	8	359	1500	130	1119
533	116	16	25	10	53	453	49	358
534	114	14	10	6	45	146	41	151
535	114	10	2	7	14	34	2	33
536	114	8	1	3	6	60	9	32
537	113	5	7	17	3	84	10	72
538	113	16	29	6	55	269	54	225
539	113	16	14	4	19	121	24	126
540	112	46	18	12	164	862	149	779
541	112	21	15	10	44	744	22	587
542	111	16	8	1	17	122	20	74
543	111	21	20	10	143	1406	121	1443
544	111	30	1	10	17	79	8	96
545	111	23	4	1	7	231	14	215
546	110	10	5	2	1	25	6	29
547	110	10	10	0	1	36	5	47
548	110	11	3	8	20	77	13	71
549	110	9	7	1	1	18	8	17
550	110	49	11	7	164	607	73	480
551	108	8	3	34	11	103	3	118
552	108	26	3	2	4	84	25	91
553	107	18	9	6	53	235	26	230
554	107	19	9	0	7	38	1	28
555	107	16	4	4	14	38	4	30
556	107	19	2	5	3	21	2	20
557	107	13	7	5	1	43	5	62
558	106	22	16	5	121	1239	96	1537
559	106	18	15	10	2	75	4	45
560	106	9	5	5	2	125	3	79
561	106	10	4	5	0	17	2	11
562	105	12	5	18	2	21	2	36
563	105	9	2	3	37	100	14	101
564	105	14	5	12	9	146	10	69
565	105	15	4	4	7	40	2	30
566	105	10	12	3	7	40	10	22
567	105	34	8	11	67	397	94	389
568	105	14	6	2	4	35	5	21
569	105	17	26	10	164	809	117	701
570	104	12	2	4	2	66	27	67
571	104	20	6	6	70	377	66	298
572	104	10	9	0	16	200	21	234
573	104	3	12	0	17	25	4	33
574	104	6	3	0	26	64	8	55
575	104	12	1	5	16	138	14	104
576	103	15	5	4	4	35	4	41
577	103	10	8	3	2	80	9	60
578	103	14	5	0	18	168	10	163
579	103	30	4	0	10	16	10	25
580	102	12	7	1	2	41	6	46
581	102	28	14	13	32	161	23	168
582	102	23	10	11	110	1366	104	1125
583	102	13	5	1	6	60	5	60
584	102	29	16	11	105	742	134	678
585	101	13	65	4	3	65	1	33
586	100	13	19	4	89	323	95	308
587	99	17	16	8	53	560	60	536
588	99	23	9	6	115	1023	49	1107
589	99	19	19	4	97	627	85	630
590	99	17	7	9	8	42	5	37
591	98	13	3	8	2	62	20	69
592	98	2	6	4	3	10	2	12
593	97	16	2	0	1	34	1	48
594	97	17	6	20	19	51	6	44
595	97	194	11	2	8	90	13	76
596	96	19	61	1	2	56	11	42
597	96	5	1	0	2	30	7	25
598	95	8	1	4	4	14	2	22
599	95	23	29	14	285	1025	114	772
600	95	12	3	0	0	58	4	72
601	94	7	0	5	19	110	16	66
602	94	12	2	5	3	31	3	31
603	94	14	9	7	34	356	33	313
604	93	16	7	2	6	78	11	49
605	93	20	5	4	21	104	21	139
606	93	10	4	4	8	43	11	58
607	93	11	18	6	61	357	48	429
608	92	11	1	6	1	19	1	11
609	92	18	9	5	48	317	31	257
610	92	18	2	22	9	87	8	58
611	91	6	4	5	11	76	11	90
612	91	18	23	19	263	909	173	860
613	91	20	2	10	1	24	2	22
614	90	13	1	1	1	33	2	33
615	90	587	4	4	43	206	36	176
616	90	16	14	1	3	118	31	92
617	90	6	2	6	27	88	12	78
618	90	24	13	14	0	51	10	54
619	89	16	25	9	115	876	70	756
620	89	16	5	3	27	179	13	204
621	89	19	4	12	4	44	5	33
622	88	11	9	3	24	198	21	133
623	88	10	0	0	5	20	2	14
624	88	16	17	12	38	950	77	776
625	88	10	8	8	16	45	15	67
626	88	9	4	3	9	42	12	36
627	88	22	5	3	5	78	10	78
628	87	31	24	9	161	611	92	608
629	87	1	1	0	0	1	0	3
630	87	13	20	6	125	51	41	66
631	87	10	2	1	2	39	5	28
632	87	6	1	4	47	255	23	149
633	86	2	2	0	1	10	4	19
634	86	18	9	24	7	7	3	38
635	86	16	3	5	2	43	2	22
636	86	6	4	0	1	40	1	41
637	86	17	4	6	3	39	3	49
638	86	8	3	36	7	26	1	38
639	86	8	7	4	0	44	0	49
640	86	14	13	12	13	75	6	73
641	85	12	17	2	3	62	5	53
642	85	14	6	7	11	163	15	241
643	85	29	16	1	278	238	69	233
644	85	9	4	0	11	43	12	29
645	84	33	19	5	103	1083	116	812
646	84	8	4	0	4	32	5	50
647	84	14	2	2	20	94	6	127
648	84	27	6	1	25	31	1	38
649	84	12	8	3	69	194	44	177
650	83	6	1	1	8	51	7	40
651	83	22	6	16	2	104	20	87
652	83	65	7	18	278	205	20	62
653	83	9	4	2	7	38	2	27
654	82	10	1	1	19	50	6	45
655	82	12	5	8	66	387	58	406
656	82	15	14	3	8	62	15	73
657	82	49	17	25	233	1062	144	1076
658	81	12	9	5	23	136	15	113
659	81	17	3	7	0	27	3	49
660	81	8	6	1	21	111	24	94
661	81	17	10	0	11	67	1	37
662	80	3	2	8	4	37	2	34
663	80	17	9	7	80	674	83	615
664	80	13	6	5	72	492	53	439
665	80	12	11	0	2	17	3	21
666	80	12	8	5	36	57	7	38
667	79	48	3	44	2	195	26	174
668	79	2	0	0	6	390	3	412
669	79	11	6	2	30	94	33	118
670	78	23	13	5	58	258	46	247
671	78	10	1	1	11	7	0	7
672	78	81	21	77	118	679	96	691
673	78	20	5	8	45	191	32	187
674	78	19	6	12	24	137	12	99
675	77	1	1	0	6	12	5	31
676	77	21	25	5	83	605	153	557
677	77	17	2	11	1	29	8	11
678	77	37	29	11	203	1405	156	1295
679	77	13	10	9	45	278	18	234
680	77	11	3	3	0	27	11	28
681	77	14	20	2	16	242	46	277
682	77	2	3	0	7	38	7	44
683	76	11	2	1	6	86	11	55
684	76	20	21	2	12	47	28	38
685	76	182	4	10	19	208	35	322
686	76	15	6	2	1	9	3	19
687	76	12	3	2	10	7	1	17
688	76	11	10	2	4	54	19	54
689	76	8	6	5	27	163	21	286
690	75	10	9	7	22	224	19	199
691	75	18	2	14	14	67	8	46
692	75	14	9	3	17	194	24	183
693	75	12	4	2	1	20	10	24
694	75	13	2	1	4	91	13	60
695	75	20	4	4	37	147	14	138
696	74	7	8	6	52	86	34	94
697	74	20	3	14	3	74	12	64
698	74	27	2	2	16	91	84	428
699	74	13	10	5	58	286	46	312
700	74	18	5	4	23	345	36	299
701	74	15	0	0	0	31	5	25
702	73	16	4	7	38	347	35	275
703	73	8	10	5	9	26	4	35
704	73	26	17	6	172	523	125	561
705	73	10	14	12	137	533	48	455
706	73	11	3	4	8	45	12	45
707	72	14	1	13	15	22	4	29
708	72	19	26	3	38	415	58	387
709	72	6	32	10	1	40	10	37
710	72	14	9	1	7	19	7	18
711	72	10	18	1	6	97	17	75
712	72	9	0	0	3	62	7	49
713	71	19	6	9	119	650	47	570
714	71	8	1	3	25	76	4	59
715	71	19	8	7	122	591	81	493
716	71	1	16	4	2	155	13	159
717	71	6	18	3	80	532	50	526
718	71	11	20	2	7	56	21	60
719	70	12	7	0	0	25	5	25
720	70	6	2	1	0	37	4	33
721	70	7	1	0	0	28	1	15
722	70	7	11	1	41	263	56	268
723	69	7	2	0	6	38	6	24
724	69	13	9	8	1	18	1	25
725	69	9	15	5	67	430	26	384
726	69	1	0	0	1	24	6	7
727	69	2	3	0	2	43	4	37
728	69	8	2	0	20	143	20	192
729	69	10	58	3	16	79	21	96
730	69	10	5	4	15	40	14	69
731	68	16	8	6	69	363	53	329
732	68	10	2	0	6	15	6	19
733	68	9	1	0	2	17	1	20
734	68	15	5	8	34	237	7	280
735	67	8	3	2	7	66	18	59
736	67	18	11	3	70	660	199	448
737	67	10	2	2	3	3	0	20
738	67	17	5	4	75	524	73	526
739	66	12	2	1	17	53	10	53
740	66	15	1	3	0	35	3	42
741	66	9	10	5	4	41	7	42
742	66	6	3	0	5	73	7	51
743	66	8	2	1	3	30	2	23
744	66	5	4	2	2	73	24	61
745	66	11	2	1	0	48	7	25
746	66	24	20	2	0	52	13	97
747	66	34	47	15	373	42121	203	12424
748	66	6	6	7	38	179	21	124
749	65	24	12	11	474	1020	40	274
750	65	13	23	3	63	390	56	343
751	65	8	1	3	1	45	3	36
752	65	15	8	1	61	437	36	442
753	65	7	4	2	14	149	20	144
754	65	6	4	6	4	128	6	59
755	65	6	0	1	22	153	15	168
756	65	7	23	7	4	65	7	100
757	64	6	4	2	23	93	4	119
