id	eggs_s1	eggs_s2	larves_s1	larves_s2	females_s1	females_s2	males_s1	males_s2
3007	0	0	0	0	0	1	0	0
3008	0	0	0	0	0	1	0	0
3009	0	0	0	0	0	1	0	5
3010	0	0	0	0	0	1	0	0
3011	0	0	0	0	0	1	0	1
3012	0	0	0	0	0	1	0	0
3013	0	0	0	0	0	1	0	0
3014	0	0	0	0	0	1	0	0
3015	0	0	0	0	0	1	0	1
3016	0	0	0	0	0	1	0	0
3017	0	0	0	0	0	1	0	0
3018	0	0	0	0	0	1	0	4
3019	0	0	0	0	0	1	0	0
3020	0	0	0	0	0	1	0	0
3021	0	0	0	0	0	1	0	0
3022	0	0	0	0	0	1	0	0
3023	0	0	0	0	0	1	0	0
3024	0	0	0	0	0	1	0	0
3025	0	0	0	0	0	1	0	0
3026	0	0	0	0	0	1	0	3
3027	0	0	0	0	0	1	0	3
3028	0	0	0	0	0	1	1	1
3029	0	0	0	0	0	1	0	0
3030	0	0	0	0	0	1	2	2
3031	0	0	0	0	0	1	0	0
3032	0	0	0	0	0	1	0	1
3033	0	0	0	0	0	1	0	1
3034	0	0	0	0	0	1	1	1
3035	0	0	0	0	0	1	1	0
3036	0	0	0	0	0	1	0	0
3037	0	0	0	0	0	1	0	1
3038	0	0	0	0	0	1	0	0
3039	0	0	0	0	0	1	0	2
3040	0	0	0	0	0	1	0	10
3041	0	0	0	0	0	1	0	0
3042	0	0	0	0	0	1	0	0
3043	0	0	0	0	0	1	0	0
3044	0	0	0	0	0	1	0	0
3045	0	0	0	0	0	1	0	5
3046	0	0	0	0	0	1	0	0
3047	0	0	0	0	0	1	0	2
3048	0	0	0	0	0	1	0	0
3049	0	0	0	0	0	1	0	0
3050	0	0	0	0	0	1	0	0
3051	0	0	0	0	0	1	0	1
3052	0	0	0	0	0	1	1	1
3053	0	0	0	0	0	1	0	0
3054	0	0	0	0	0	1	0	0
3055	0	0	0	0	0	1	0	0
3056	0	0	0	0	0	1	0	1
3057	0	0	0	0	0	1	0	0
